#id,x,y,z,u,v,z
457,-18.00,-23.50,0.00,0.000,0.000,0.00
458,-18.00,-22.50,0.00,0.000,0.000,0.00
459,-18.00,-21.50,0.00,0.000,0.000,0.00
460,-18.00,-20.50,0.00,0.000,0.000,0.00
461,-18.00,-19.50,0.00,0.000,0.000,0.00
462,-18.00,-18.50,0.00,0.000,0.000,0.00
463,-18.00,-17.50,0.00,0.000,0.000,0.00
464,-18.00,-16.50,0.00,0.000,0.000,0.00
465,-18.00,-15.50,0.00,0.000,0.000,0.00
466,-18.00,-14.50,0.00,0.000,0.000,0.00
467,-18.00,-13.50,0.00,0.000,0.000,0.00
468,-18.00,-12.50,0.00,0.000,0.000,0.00
469,-18.00,-11.50,0.00,0.000,0.000,0.00
470,-18.00,-10.50,0.00,0.000,0.000,0.00
471,-18.00,-9.50,0.00,0.000,0.000,0.00
472,-18.00,-8.50,0.00,0.000,0.000,0.00
473,-18.00,-7.50,0.00,0.000,0.000,0.00
474,-18.00,-6.50,0.00,0.000,0.000,0.00
475,-18.00,-5.50,0.00,0.000,0.000,0.00
476,-18.00,-4.50,0.00,0.000,0.000,0.00
477,-18.00,-3.50,0.00,0.000,0.000,0.00
478,-18.00,-2.50,0.00,0.000,0.000,0.00
479,-18.00,-1.50,0.00,0.000,0.000,0.00
480,-18.00,-0.50,0.00,0.000,0.000,0.00
481,-18.00,0.50,0.00,0.000,0.000,0.00
482,-18.00,1.50,0.00,0.000,0.000,0.00
483,-18.00,2.50,0.00,0.000,0.000,0.00
484,-18.00,3.50,0.00,0.000,0.000,0.00
485,-18.00,4.50,0.00,0.000,0.000,0.00
486,-18.00,5.50,0.00,0.000,0.000,0.00
487,-18.00,6.50,0.00,0.000,0.000,0.00
488,-18.00,7.50,0.00,0.000,0.000,0.00
489,-18.00,8.50,0.00,0.000,0.000,0.00
490,-18.00,9.50,0.00,0.000,0.000,0.00
491,-18.00,10.50,0.00,0.000,0.000,0.00
492,-18.00,11.50,0.00,0.000,0.000,0.00
493,-18.00,12.50,0.00,0.000,0.000,0.00
